                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.85953,                 1.1409,                 1.0695,                0.74061,                0.85446,                0.84477,                 0.5958,                 1.0063,                 1.4287,                 1.4667,               0.006073,               0.006073,               0.006073
                    121,                0.90196,                 1.1998,                 1.1026,                0.78678,                0.81214,                0.87623,                0.61253,                 1.0007,                 1.3493,                 1.4961,                0.00604,                0.00604,                0.00604
                    122,                0.93453,                 1.1988,                 1.1269,                0.71479,                 0.6734,                0.87082,                0.61289,                 1.0072,                 1.5877,                 1.5072,               0.006007,               0.006007,               0.006007
                    123,                0.87613,                 1.1316,                 1.0837,                0.78165,                0.71808,                0.86522,                0.58806,                 1.0165,                 1.4915,                 1.5292,               0.005974,               0.005974,               0.005974
                    124,                 0.8693,                 1.1063,                 1.1075,                0.77033,                0.87376,                0.89776,                 0.5898,                 1.0268,                 1.3261,                 1.5435,               0.005941,               0.005941,               0.005941
                    125,                 0.8415,                 1.1335,                 1.0849,                 0.7689,                0.88743,                0.93703,                0.62197,                 1.1014,                 1.2729,                 1.5843,               0.005908,               0.005908,               0.005908
                    126,                0.83387,                 1.0739,                 1.0685,                0.86018,                0.84637,                0.94838,                0.64432,                 1.0849,                 1.3013,                 1.5675,               0.005875,               0.005875,               0.005875
                    127,                0.88497,                 1.0492,                 1.0974,                0.85862,                  0.868,                0.93126,                 0.6602,                 1.0228,                 1.2646,                 1.5093,               0.005842,               0.005842,               0.005842
                    128,                0.87684,                 1.0797,                 1.0941,                0.82901,                0.89287,                0.88209,                0.62485,                 1.0554,                 1.5038,                 1.5637,               0.005809,               0.005809,               0.005809
                    129,                0.88159,                 1.0988,                 1.1242,                0.92027,                0.84247,                0.87807,                0.63789,                0.98923,                 1.4633,                 1.4829,               0.005776,               0.005776,               0.005776
                    130,                0.91461,                 1.2335,                 1.1208,                0.89381,                0.87663,                0.91261,                0.66471,                 0.9645,                 1.2896,                 1.4367,               0.005743,               0.005743,               0.005743
                    131,                0.82559,                 1.0357,                 1.0761,                0.91518,                0.88829,                0.94078,                0.66636,                 1.0086,                 1.3325,                 1.5049,                0.00571,                0.00571,                0.00571
                    132,                0.88492,                 1.0998,                 1.0983,                0.87686,                0.80052,                0.90013,                0.63931,                0.96149,                 1.5519,                 1.4123,               0.005677,               0.005677,               0.005677
                    133,                0.87265,                 1.1076,                 1.0949,                0.90942,                0.84333,                0.93473,                0.66666,                 0.9908,                 1.2899,                 1.4542,               0.005644,               0.005644,               0.005644
                    134,                0.83577,                 1.0292,                 1.0755,                 0.8163,                0.80514,                0.90773,                0.68006,                0.88802,                 1.3777,                 1.3529,               0.005611,               0.005611,               0.005611
                    135,                0.84925,                 1.0802,                  1.104,                 0.7562,                0.76429,                0.90311,                0.64395,                0.97243,                 1.4476,                 1.4998,               0.005578,               0.005578,               0.005578
                    136,                0.87361,                  1.078,                 1.1224,                0.79071,                0.87587,                0.93559,                0.67411,                 1.0108,                 1.3963,                 1.5871,               0.005545,               0.005545,               0.005545
                    137,                0.82934,                 1.0408,                 1.0996,                0.80801,                0.90322,                0.95464,                0.68035,                 1.0433,                 1.1547,                 1.5996,               0.005512,               0.005512,               0.005512
                    138,                0.85992,                 1.0598,                 1.0917,                0.94853,                0.91598,                0.97969,                0.72836,                0.98655,                 1.0633,                 1.5367,               0.005479,               0.005479,               0.005479
                    139,                 0.8469,                  1.022,                 1.0911,                 0.9068,                0.79198,                0.95345,                 0.6867,                 1.0008,                 1.1669,                 1.5289,               0.005446,               0.005446,               0.005446
                    140,                0.84873,                 1.0408,                 1.0952,                0.82645,                0.86113,                0.89835,                0.66309,                0.94247,                 1.2843,                 1.4319,               0.005413,               0.005413,               0.005413
                    141,                0.85071,                  1.024,                 1.0717,                0.76803,                0.86471,                0.86106,                0.62109,                 1.0168,                 1.3914,                 1.4631,                0.00538,                0.00538,                0.00538
                    142,                0.81933,                 1.0643,                 1.0646,                 0.8206,                0.77032,                0.86262,                0.62371,                0.96362,                 1.3394,                   1.43,               0.005347,               0.005347,               0.005347
                    143,                0.84046,                 1.0446,                 1.0911,                0.79079,                0.79825,                0.84962,                0.63664,                0.96314,                 1.3834,                 1.4093,               0.005314,               0.005314,               0.005314
                    144,                0.84104,                 1.0418,                 1.0974,                0.81339,                0.78403,                0.87567,                0.65355,                0.91521,                 1.3463,                 1.3739,               0.005281,               0.005281,               0.005281
                    145,                0.81825,                 1.0417,                 1.0653,                 0.7651,                0.87143,                0.93932,                0.66588,                 1.0005,                 1.3321,                 1.4939,               0.005248,               0.005248,               0.005248
                    146,                0.83225,                 1.0147,                 1.0625,                0.86307,                0.83878,                0.92723,                0.63896,                 1.0729,                 1.2556,                 1.5701,               0.005215,               0.005215,               0.005215
                    147,                0.87099,                 1.0305,                 1.0742,                0.90469,                0.77025,                0.93321,                0.68547,                0.92316,                 1.3255,                 1.4194,               0.005182,               0.005182,               0.005182
                    148,                0.80014,                 1.0387,                 1.0566,                0.78139,                0.82344,                0.89854,                0.69123,                0.88654,                 1.3489,                 1.3962,               0.005149,               0.005149,               0.005149
                    149,                0.85512,                 1.0862,                 1.0965,                0.78723,                0.86192,                0.91048,                0.68271,                0.94893,                  1.282,                 1.4698,               0.005116,               0.005116,               0.005116
